KeyFrame[0]: movNavi_x=-9, movNavi_y=14.5, movNavi_z=93, giroNavi=0
KeyFrame[1]: movNavi_x=-9, movNavi_y=14.5, movNavi_z=94, giroNavi=15
KeyFrame[2]: movNavi_x=-9, movNavi_y=14.5, movNavi_z=94, giroNavi=135
KeyFrame[3]: movNavi_x=-9, movNavi_y=14.5, movNavi_z=94, giroNavi=165
KeyFrame[4]: movNavi_x=-9, movNavi_y=14.5, movNavi_z=94, giroNavi=195
KeyFrame[5]: movNavi_x=-9, movNavi_y=14.5, movNavi_z=94, giroNavi=225
KeyFrame[6]: movNavi_x=-9, movNavi_y=14.5, movNavi_z=94, giroNavi=255
KeyFrame[7]: movNavi_x=-9, movNavi_y=14.5, movNavi_z=94, giroNavi=285
KeyFrame[8]: movNavi_x=-9, movNavi_y=14.5, movNavi_z=94, giroNavi=330
KeyFrame[9]: movNavi_x=-9, movNavi_y=14.5, movNavi_z=94, giroNavi=0
KeyFrame[0]: movNavi_x=-10, movNavi_y=15.5, movNavi_z=92, giroNavi=0
KeyFrame[1]: movNavi_x=-10, movNavi_y=15.5, movNavi_z=92, giroNavi=60
KeyFrame[2]: movNavi_x=-10, movNavi_y=15.5, movNavi_z=92, giroNavi=120
KeyFrame[3]: movNavi_x=-10, movNavi_y=15.5, movNavi_z=92, giroNavi=180
KeyFrame[4]: movNavi_x=-10, movNavi_y=15.5, movNavi_z=92, giroNavi=240
KeyFrame[5]: movNavi_x=-10, movNavi_y=15.5, movNavi_z=92, giroNavi=300
KeyFrame[6]: movNavi_x=-10, movNavi_y=15.5, movNavi_z=92, giroNavi=345
KeyFrame[7]: movNavi_x=-10, movNavi_y=15.5, movNavi_z=92, giroNavi=0
